Company,# ,Annual Revenue,Total Funding,Round,Latest Funding,Date Raised
Rhithm,47,2000000.00,4000000.00,Seed,4000000,25/05/2021
ENACT Systems Inc.,40,3100000.00,1025000.00,Seed,1000000,01/05/2015
SIXGEN,68,5000000.00,500000.00,Seed,500000,01/09/2017
Grassroots Unwired,6,3010000.00,160000.00,Seed,100000,16/07/2014
Ryvit,38,1500000.00,3500000.00,Seed,3500000,22/10/2019
Revelator Ltd.,31,4200000.00,3650000.00,Seed,2500000,29/08/2016
Wise Athena,39,2000000.00,21110000.00,Seed,450000,01/04/2018
back4app,12,2400000.00,770000.00,Seed,770000,01/06/2017
PipeCandy,83,1000000.00,1093223.00,Seed,1093223,08/03/2017
Lootcakes,11,1200000.00,2000000.00,Seed,2000000,20/08/2020
Zuppler,59,2000000.00,1025000.00,Seed,300000,18/07/2016
Azameo,16,4869000.00,684646.00,Seed,684646,01/06/2014
Asseta,5,5000000.00,1535000.00,Seed,1000000,16/03/2015
Lexigram,4,1000000.00,2000000.00,Seed,2000000,30/11/2016
Flipcause,43,4700000.00,2828000.00,Seed,2828000,15/10/2018
WhenThen,30,1100000.00,6000000.00,Seed,6000000,21/07/2021
Flow Club,7,4420000.00,,Seed,,01/12/2011
Cloud Dentistry,120,4000000.00,755000.00,Seed,755000,08/01/2019
Cloud Dentistry,120,4000000.00,755000.00,Seed,755000,08/01/2019
"FaceTec, Inc.",35,3300000.00,5000000.00,Seed,5000000,01/06/2013
Supreme Golf,24,1245000.00,7787500.00,Seed,6000000,08/05/2018
TheUberCloud,32,2500000.00,1700000.00,Seed,1700000,27/01/2017
DMscore,9,2400000.00,2500000.00,Seed,2500000,07/10/2016
"NetBeez, Inc.",13,2000000.00,1365000.00,Seed,500000,16/11/2016
Zeplin,140,4387000.00,1320000.00,Seed,1200000,24/11/2015
SpotDraft,130,1000000.00,2050000.00,Seed,1500000,21/02/2019
"Digible, Inc",51,1000000.00,250000.00,Seed,250000,10/04/2018
GitStart | For companies (YC S19),32,1800000.00,5150000.00,Seed,5000000,01/05/2022
"Brinkbit, Inc.",2,3963000.00,125000.00,Seed,125000,01/12/2015
HASH,22,1000000.00,2500000.00,Seed,2500000,01/06/2020
jobZology®,5,3363000.00,1050000.00,Seed,750000,07/03/2017
Botanalytics,4,1300000.00,693159.00,Seed,301756,28/05/2017
Breaking Media,78,2560000.00,2999965.00,Seed,1500000,10/04/2015
CarServ,23,2000000.00,1000000.00,Seed,1000000,26/09/2018
Indicio,40,1000000.00,3500000.00,Seed,3500000,01/01/2022
Brew,33,2200000.00,12000000.00,Seed,12000000,01/03/2022
Protequus®,3,1400000.00,3300000.00,Seed,2250000,07/11/2016
Elastisys,39,4500000.00,679613.00,Seed,679613,22/02/2017
"App47, Inc.",2,2000000.00,1750000.00,Seed,1750000,01/01/2011
"WorkRails, Inc.",22,2000000.00,2300000.00,Seed,2300000,10/10/2016
Bainbridge Health,12,2000000.00,4150000.00,Seed,1600000,15/06/2018
