Company,employees,anrv,latest,date
Rhithm,47,2000000,4000000,44341
ENACT Systems Inc.,40,3100000,1000000,42125
SIXGEN,68,5000000,500000,42979
Grassroots Unwired,6,3010000,100000,41836
Ryvit,38,1500000,3500000,43760
Revelator Ltd.,31,4200000,2500000,42611
Wise Athena,39,2000000,450000,43191
back4app,12,2400000,770000,42887
PipeCandy,83,1000000,1093223,42802
Lootcakes,11,1200000,2000000,44063
Zuppler,59,2000000,300000,42569
Azameo,16,4869000,684646,41791
Asseta,5,5000000,1000000,42079
Lexigram,4,1000000,2000000,42704
Flipcause,43,4700000,2828000,43388
WhenThen,30,1100000,6000000,44398
Flow Club,7,4420000,,40878
Cloud Dentistry,120,4000000,755000,43473
Cloud Dentistry,120,4000000,755000,43473
"FaceTec, Inc.",35,3300000,5000000,41426
Supreme Golf,24,1245000,6000000,43228
TheUberCloud,32,2500000,1700000,42762
DMscore,9,2400000,2500000,42650
"NetBeez, Inc.",13,2000000,500000,42690
Zeplin,140,4387000,1200000,42332
SpotDraft,130,1000000,1500000,43517
"Digible, Inc",51,1000000,250000,43200
GitStart | For companies (YC S19),32,1800000,5000000,44682
"Brinkbit, Inc.",2,3963000,125000,42339
HASH,22,1000000,2500000,43983
jobZology®,5,3363000,750000,42801
Botanalytics,4,1300000,301756,42883
Breaking Media,78,2560000,1500000,42104
CarServ,23,2000000,1000000,43369
Indicio,40,1000000,3500000,44562
Brew,33,2200000,12000000,44621
Protequus®,3,1400000,2250000,42681
Elastisys,39,4500000,679613,42788
"App47, Inc.",2,2000000,1750000,40544
"WorkRails, Inc.",22,2000000,2300000,42653
Bainbridge Health,12,2000000,1600000,43266
Indicio,40,1000000,3500000,44562
"Patient Pattern, Inc",24,2400000,2000000,44621
Included,13,1200000,3500000,44682
Etleap,13,5000000,1500000,43214
Retrium,21,2100000,1600000,43615
OrangeGrid - Empowering People in Process,31,3500000,500000,41883
Hatcher+,37,2000000,5500000,43739
Nomad Go,9,1500000,2732863,43720
Kloudio,18,2500000,4000000,43860
Sellr,5,1000000,998198,43419
Kloudio,18,2500000,4000000,43860
Jetpack Workflow,16,5000000,50000,44013
Bitext,18,1766000,900000,42037
"Clearview Social, Inc.",17,1700000,230004,42387
BTP,25,1800000,2767974,44392
OrangeGrid - Empowering People in Process,31,3500000,500000,41883
ChannelMeter,11,1300000,4000000,44019
TablelistPro,2,1000000,95000,41244
HoneyComb,5,4420000,290870,41919
Transmute,19,3000000,2040000,44125
"Givsum, Inc.",19,2790000,2000000,44501
Be-novative,7,1258000,1200000,42520
Altoura,40,2900000,1100000,43714
Foundersuite.com,7,3000000,935000,42278
Ecomedes,18,4000000,3250000,44259
Helm - Own your data,3,2000000,4000000,42789
Roomeze,9,3200000,2000000,43242
Givebutter,52,4200000,7000000,44713
Proof Analytics,31,2000000,2400000,42754
Mashvisor,39,1150000,250000,43435
Gradle Inc.,130,4495000,4200000,42348
Blue Sentry Cloud,59,2595000,300000,42521
Hiatus,26,4200000,1200000,42789
Cohley,60,5000000,5000000,44392
Activity Stream,53,1400000,2100000,42341
Dyspatch,36,3000000,6000000,44562
Dealflicks,6,2000000,2900000,42304
Digital Mortar,6,2400000,150000,42774
PipeCandy,83,1000000,1093223,42802
Exchangelodge,15,2000000,200000,42675
Industry,620,5000000,2300000,42667
Slidebean,41,2200000,447500,42936
Relativity6,41,2000000,5250000,44593
GovInvest,33,2000000,2172242,42748
Quasar AI,8,2500000,2500000,43132
WittyParrot,55,4420000,444000,42713
PTO Exchange,59,4300000,5400000,44621
CustomerSuccessBox,22,1000000,1000000,43178
Saikou Optics Inc,3,1483000,343090,42494
Admiral: The Visitor Relationship Management Company,30,4000000,2600000,43547
Smartria®,23,2100000,100000,42993
Localwise,6,4100000,1000000,43343
UpLink,22,1000000,3000000,43809
RecordGram Inc.,7,2400000,1000000,42898
Undock,20,2000000,1600000,44136
CloudForecast,5,1000000,180000,44348
Slab,40,1050000,2200000,43137
Taloflow (YC W21),7,1000000,1489380,44256
Mat3ra.com,7,2000000,350000,42976
SIXGEN,68,5000000,500000,42979
Arthur,50,1000000,2500000,44174
Caretaker,64,1722000,2200000,42913
Downstream,25,1000000,1500000,43101
"Yet Analytics, Inc.",20,2500000,1000000,42746
Relativity6,41,2000000,5250000,44593
Causes.com,21,4420000,4617345,42795
SportsRecruits,53,2000000,1250000,42064
APOZY,28,1400000,2200000,43510
RealKey,8,3200000,3400000,44470
Allstacks,39,2200000,4000000,44378
CollegePads.com,14,1200000,1000000,42629
Flipcause,43,4700000,2828000,43388
3TEN8 – Voted #1 AI Startup by Mobile Operators & Investors,4,1000000,2000000,43070
Marigold Health,34,2100000,6000000,44562
VUGO,9,2000000,200000,42167
Retrium,21,2100000,1600000,43615
GoodSeeker.io,8,2400000,1300000,43140
Range,31,1200000,6000000,43874
SportsRecruits,53,2000000,1250000,42064
IronCore Labs,11,3000000,1500000,43279
