“Company”,"employees","anrv","latest","date"
“Rhithm”,47,2000000,4000000,25/05/2021
“ENACT Systems Inc.”,40,3100000,1000000,01/05/2015
“SIXGEN”,68,5000000,500000,01/09/2017
“Grassroots Unwired”,6,3010000,100000,16/07/2014
“Ryvit”,38,1500000,3500000,22/10/2019
“Revelator Ltd.”,31,4200000,2500000,29/08/2016
“Wise Athena”,39,2000000,450000,01/04/2018
“back4app”,12,2400000,770000,01/06/2017
“PipeCandy”,83,1000000,1093223,08/03/2017
“Lootcakes”,11,1200000,2000000,20/08/2020
“Zuppler”,59,2000000,300000,18/07/2016
“Azameo”,16,4869000,684646,01/06/2014
“Asseta”,5,5000000,1000000,16/03/2015
“Lexigram”,4,1000000,2000000,30/11/2016
“Flipcause”,43,4700000,2828000,15/10/2018
“WhenThen”,30,1100000,6000000,21/07/2021
“Flow Club”,7,4420000,,01/12/2011
“Cloud Dentistry”,120,4000000,755000,08/01/2019
“Cloud Dentistry”,120,4000000,755000,08/01/2019
"“FaceTec, Inc.”",35,3300000,5000000,01/06/2013
“Supreme Golf”,24,1245000,6000000,08/05/2018
“TheUberCloud”,32,2500000,1700000,27/01/2017
“DMscore”,9,2400000,2500000,07/10/2016
"“NetBeez, Inc.”",13,2000000,500000,16/11/2016
“Zeplin”,140,4387000,1200000,24/11/2015
“SpotDraft”,130,1000000,1500000,21/02/2019
"“Digible, Inc”",51,1000000,250000,10/04/2018
“GitStart | For companies (YC S19)”,32,1800000,5000000,01/05/2022
"“Brinkbit, Inc.”",2,3963000,125000,01/12/2015
“HASH”,22,1000000,2500000,01/06/2020
“jobZologyÂ®”,5,3363000,750000,07/03/2017
“Botanalytics”,4,1300000,301756,28/05/2017
“Breaking Media”,78,2560000,1500000,10/04/2015
“CarServ”,23,2000000,1000000,26/09/2018
“Indicio”,40,1000000,3500000,01/01/2022
“Brew”,33,2200000,12000000,01/03/2022
“ProtequusÂ®”,3,1400000,2250000,07/11/2016
“Elastisys”,39,4500000,679613,22/02/2017
"“App47, Inc.”",2,2000000,1750000,01/01/2011
"“WorkRails, Inc.”",22,2000000,2300000,10/10/2016
“Bainbridge Health”,12,2000000,1600000,15/06/2018
“Indicio”,40,1000000,3500000,01/01/2022
"“Patient Pattern, Inc”",24,2400000,2000000,01/03/2022
“Included”,13,1200000,3500000,01/05/2022
